LineId,Date,Time,Level,Content,EventId,EventTemplate,ParameterList
621,Oct,10,14,"52:46 test-pc dbus-daemon[5630]: [limitCtl]: full_limit_name is /etc/dbus-1/conf/com.kylin.dlp.TransControl.limit, id is 2",648e51c9,"<*> test-pc <*> [limitCtl]: full_limit_name is /etc/dbus-1/conf/com.kylin.dlp.TransControl.limit, id is 2","['52:46', 'dbus-daemon[5630]:']"
622,Oct,10,14,59:29 test-pc kernel: [  411.789357][T11988] dlp_file_pro module initializing.,bbe35078,<*> test-pc kernel: [ <*> <*> module <*>,"['59:29', '411.789357][T11988] dlp_file_pro', 'initializing.']"
623,Oct,10,14,59:29 test-pc kernel: [  411.789361][T11988] Security Module dlp_file_pro loaded with 2 hooks,beeb93c9,<*> test-pc kernel: [ <*> Security Module <*> loaded with <*> hooks,"['59:29', '411.789361][T11988]', 'dlp_file_pro', '2']"
624,Oct,10,14,59:29 test-pc kernel: [  411.789361][T11988] dlp_file_pro kernel module add LSM hooks successfully.,ba1e19c2,<*> test-pc kernel: [ <*> <*> kernel module add LSM hooks successfully.,"['59:29', '411.789361][T11988] dlp_file_pro']"
625,Oct,10,14,59:29 test-pc kernel: [  411.789368][T11988] dlp_file_pro kernel module sysfs init successfully.,8c9b742a,<*> test-pc kernel: [ <*> <*> kernel module sysfs init successfully.,"['59:29', '411.789368][T11988] dlp_file_pro']"
626,Oct,10,14,59:59 test-pc kernel: [  434.432205][T12144] dlp_file_pro: uid=1000 pid=12144 comm=/usr/bin/mv rename sensitive file old_file=abc55 new_file=abc5 old_ino=3932162  new_ino=3932162 old_dentry_ino=3939923 new_dentry_ino=3939923,fad656b7,<*> test-pc kernel: [ <*> dlp_file_pro: uid=1000 <*> comm=/usr/bin/mv rename sensitive file <*> <*> old_ino=3932162 new_ino=3932162 old_dentry_ino=3939923 new_dentry_ino=3939923,"['59:59', '434.432205][T12144]', 'pid=12144', 'old_file=abc55 new_file=abc5']"
627,Oct,10,15,00:00 test-pc kernel: [  442.072948][T12181] dlp_file_pro: uid=1000 pid=12181 comm=/usr/bin/mv rename sensitive file old_file=abc5 new_file=abc55 old_ino=3932162  new_ino=3932162 old_dentry_ino=3939923 new_dentry_ino=3939923,fad656b7,<*> test-pc kernel: [ <*> dlp_file_pro: uid=1000 <*> comm=/usr/bin/mv rename sensitive file <*> <*> old_ino=3932162 new_ino=3932162 old_dentry_ino=3939923 new_dentry_ino=3939923,"['00:00', '442.072948][T12181]', 'pid=12181', 'old_file=abc5 new_file=abc55']"
628,Oct,10,15,00:01 test-pc kernel: [  443.308826][T12186] dlp_file_pro: uid=1000 pid=12186 comm=/usr/bin/mv rename sensitive file old_file=abc55 new_file=abc5 old_ino=3932162  new_ino=3932162 old_dentry_ino=3939923 new_dentry_ino=3939923,fad656b7,<*> test-pc kernel: [ <*> dlp_file_pro: uid=1000 <*> comm=/usr/bin/mv rename sensitive file <*> <*> old_ino=3932162 new_ino=3932162 old_dentry_ino=3939923 new_dentry_ino=3939923,"['00:01', '443.308826][T12186]', 'pid=12186', 'old_file=abc55 new_file=abc5']"
629,Oct,10,15,00:02 test-pc kernel: [  444.218486][T12192] dlp_file_pro: uid=1000 pid=12192 comm=/usr/bin/mv rename sensitive file old_file=abc5 new_file=abc55 old_ino=3932162  new_ino=3932162 old_dentry_ino=3939923 new_dentry_ino=3939923,fad656b7,<*> test-pc kernel: [ <*> dlp_file_pro: uid=1000 <*> comm=/usr/bin/mv rename sensitive file <*> <*> old_ino=3932162 new_ino=3932162 old_dentry_ino=3939923 new_dentry_ino=3939923,"['00:02', '444.218486][T12192]', 'pid=12192', 'old_file=abc5 new_file=abc55']"
630,Oct,10,15,00:03 test-pc kernel: [  445.483980][T12220] dlp_file_pro: uid=1000 pid=12220 comm=/usr/bin/mv rename sensitive file old_file=abc55 new_file=abc5 old_ino=3932162  new_ino=3932162 old_dentry_ino=3939923 new_dentry_ino=3939923,fad656b7,<*> test-pc kernel: [ <*> dlp_file_pro: uid=1000 <*> comm=/usr/bin/mv rename sensitive file <*> <*> old_ino=3932162 new_ino=3932162 old_dentry_ino=3939923 new_dentry_ino=3939923,"['00:03', '445.483980][T12220]', 'pid=12220', 'old_file=abc55 new_file=abc5']"
