EventId,EventTemplate,Occurrences
8c30acd9,<*> test-pc kernel: <*> dlp_file_pro: uid=1000 <*> comm=/usr/bin/mv rename sensitive file <*> <*> old_ino=3932162 new_ino=3932162 den_ino=3939923,4
1f36cb9c,49:52 test-pc kernel: <*> RIP: 0010:dlp_file_rename+0x117/0x140 [dlp_file_pro],4
b2ae44c5,49:52 test-pc kernel: [162981.453886][T540754] Modules linked in: dlp_file_pro(OE) binfmt_misc st iptable_filter rfcomm cmac algif_hash algif_skcipher vboxnetadp(OE) af_alg vboxnetflt(OE) vboxdrv(OE) bnep snd_soc_skl_hda_dsp snd_soc_intel_hda_dsp_common snd_soc_hdac_hdmi snd_soc_dmic snd_hda_codec_hdmi hid_generic snd_hda_codec_realtek mei_hdcp snd_hda_codec_generic intel_rapl_msr snd_sof_pci snd_sof_intel_byt snd_sof_intel_ipc snd_sof_intel_hda_common iwlmvm x86_pkg_temp_thermal snd_soc_hdac_hda intel_powerclamp snd_sof_xtensa_dsp coretemp snd_sof_intel_hda mac80211 snd_sof kvm_intel kvm crct10dif_pclmul snd_hda_ext_core snd_soc_acpi_intel_match snd_soc_acpi crc32_pclmul snd_soc_core libarc4 snd_compress ac97_bus ghash_clmulni_intel snd_pcm_dmaengine rapl snd_hda_intel intel_cstate snd_intel_dspcfg joydev uvcvideo snd_hda_codec snd_hda_core videobuf2_vmalloc btusb usbhid thinkpad_acpi btrtl videobuf2_memops snd_hwdep videobuf2_v4l2 btbcm iwlwifi nvram videobuf2_common hid btintel ledtrig_audio,2
b5aef037,52:41 test-pc systemd-modules-load[1680]: Failed to insert module 'ky_dlp': No such file or directory,2
2acd0bd8,52:41 test-pc systemd[1]: <*> kylin dlp <*>,4
5e7da106,"52:41 test-pc dbus-daemon[3138]: [system] [limitCtl]: full_limit_name is /etc/dbus-1/conf/com.kylin.dlp.TransControl.limit, id is 2",2
0ff90feb,52:41 test-pc dbus-daemon[3138]: [system] [bus_registry_acquire_service] service com.kylin.dlp.TransControl has a unique name :1.14,2
4317c379,52:41 test-pc bash[3487]: 重置状态失败：open /sys/kernel/security/dlp/usb_check_status: no such file or directory,2
1140cfb0,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid <*>,24
fcc8c2d3,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call <*> on service com.kylin.dlp.TransControl,24
